Complaint No,Ward,Zone,Address,Complaint Date,Complaint Time,Complaint Type Id,Complaint type,Attended date,Attended time,Status,Redressal code,Attended days
2/23862,2,11,GAMANAGATTI SILAVANATAR ONI NR ASARA ONI  ,01-Jan-15, 1:32 pm,5,General(pwd),13-Jan-15,4:39 PM,Y,959,12
2/23839,12,20,"JANTH NGR, TOL  NAK NR FARUKIYA MAJID  ",01-Jan-15, 9:58 am,6,Chamber damaged,06-Jan-15,4:24 PM,Y,810,5
2/23993,1,2,"SADAN KERI HUDAKO CLNY, NR GANAPTHI TMPL  ",03-Jan-15, 9:43 am,6,Drainage damaged,23-Jan-15,12:38 PM,Y,942,20
2/24037,12,20,"JANATHNGR 8TH CRS ,#43  ",03-Jan-15, 5:14 pm,6,Chamber damaged,06-Jan-15,4:24 PM,Y,810,3
2/24031,3,15,"JAI BHEEM NGR, OPP PINKY PARLOR, BASAPPA CHOUK MN RD,  ",03-Jan-15, 2:45 pm,6,Drainage damaged,17-Jan-15,5:14 PM,Y,977,14
2/23999,3,5,"MALAPUR, LAST BUS STOP, NR KORPALI HOUSE, KAMALAPUR RD  ",03-Jan-15,10:24 AM,5,No chamber cover,03-Jan-15,1:49 PM,Y,975,0
2/23986,3,5,"HALABAVI ONI, MALAPUR, OPP HIREMATH HOSPITAL.  ",03-Jan-15, 8:50 am,6,Chamber damaged,08-Jan-15,1:02 PM,Y,975,5
2/24068,1,1,"PLOUT NO 5, VIJAYA NGR, 2 CRS B/H  MUGAJAM KALYAN MANTAPPA  HALIYAL RD  ",04-Jan-15,10:24 AM,6,Drainage damaged,16-Jan-15,11:34 AM,Y,938,12
2/24106,12,20,"SHIVAND NGR, 5TH CRS, NR KARIYAMMA TEMPLE  ",05-Jan-15,10:06 AM,5,No chamber cover,,,N,810,
2/24152,3,15,RAM NGR 2ND MN NEAR  ADARSHA GIRLS SCHOOL  ,05-Jan-15, 2:56 pm,5,General(pwd),17-Jan-15,5:14 PM,Y,977,12
2/24262,3,15,"MISSION COMPOUND, B/H NTTF, 1ST CRS, NR LAKSHMI TAKIES  ",07-Jan-15, 8:47 am,6,Chamber damaged,17-Jan-15,5:13 PM,Y,977,10
2/24347,3,12,SUBASH ROAD BUSTND NR KANNAKUR JANRL STORE  OPP TOUN POLICE STION  ,07-Jan-15, 6:59 pm,1,Illegal dabba shops,16-Jan-15,11:42 AM,Y,976,9
2/24261,12,16,"MANJUNATHPUR, NEAR VENKATESH TEMPLE.  ",07-Jan-15, 8:11 am,5,No chamber cover,09-Jan-15,3:58 PM,Y,986,2
2/24354,12,16,"NR , 2ND CRSS MANJUNATH PUR  ",07-Jan-15, 8:40 pm,6,Chamber damaged,09-Jan-15,3:58 PM,Y,986,2
2/24426,2,11,MANIKILL  ONI NR BAR IMAMA GALLI RD  ,08-Jan-15, 4:31 pm,1,Illegal dabba shops,19-Jan-15,11:00 AM,Y,959,11
2/24379,12,16,"MANJUNATH PUR, MALMADDI, SAMPA GAVKAR CHAWL ,NR RAYAR MATH  ",08-Jan-15, 9:58 am,6,Chamber damaged,09-Jan-15,3:58 PM,Y,986,1
2/24421,3,5,"MALAPUR HARIJAN KERI , B/S KAMBAR ONI  ",08-Jan-15, 3:36 pm,1,Illegal construction,17-Jan-15,5:12 PM,Y,975,9
2/24366,3,15,RAM NGR NR VANTH SEVA SAMAJA ROAD  ,08-Jan-15, 8:48 am,1,Illegal construction,08-Jan-15,1:06 PM,Y,977,0
2/24547,1,2,"KELAGERI RD,NR YOGA ASHRAMA  ",10-Jan-15,11:50 AM,5,General(pwd),18-Jan-15,7:54 PM,N,942,8
2/24555,2,11,JAKANI BAVI ROAD OPP VIJAYA SWT  ,10-Jan-15,12:44 PM,1,Illegal dabba shops,19-Jan-15,11:00 AM,Y,959,9
2/24608,2,8,KERIKELAGIN ONI.NR POOJA KIRANI STORE  ,11-Jan-15,11:21 AM,5,No chamber cover,16-Jan-15,12:06 PM,Y,956,5
2/24683,3,12,"B/H MALLSAJJAN VYAYYAM   SCHOOL,YADAVAD ROAD  ",12-Jan-15, 5:11 pm,5,No chamber cover,21-Jan-15,4:47 PM,Y,976,9
2/24684,3,12,"B/H MALLSAJJAN VYAYYAM SCHOOL,YADAVAD ROAD 

  ",12-Jan-15, 5:25 pm,5,No chamber cover,21-Jan-15,4:47 PM,Y,976,9
2/24656,3,3,"KHB CLNY, ANUSHA RESIDENCY,  C R KATTI HOUSE  ",12-Jan-15,11:48 AM,6,Chamber damaged,21-Jan-15,4:47 PM,Y,973,9
2/24744,2,11,"MARKET, NR MISKIN PHOTO STUDION, B/S DARGHA  ",13-Jan-15, 5:04 pm,1,Illegal construction,29-Jan-15,10:44 AM,Y,959,16
2/24810,3,12,"NR KARNATAKA VYAYAM SCHOOL,  OPP T M SHETTY HOUSE, FORT AREA  ",14-Jan-15, 2:33 pm,5,No chamber cover,21-Jan-15,4:46 PM,Y,976,7
2/24855,1,2,SAMPGI NGR NR KARANTAKA HOUSING BORD CLNY  ,15-Jan-15, 6:30 pm,6,Drainage damaged,23-Jan-15,12:38 PM,Y,942,8
2/24894,2,10,JAI BHIM NGR MAGARMADDI  NR MARIYAMMAN GUDI  ,16-Jan-15,11:15 AM,6,Chamber damaged,29-Jan-15,10:44 AM,Y,958,13
2/24895,3,15,"MAHISHI ROAD , MALMADDI  ",16-Jan-15,11:32 AM,5,General(pwd),21-Jan-15,4:46 PM,Y,892,5
2/25057,3,4,"M B NAGAR , NR SHIVALAYA  ",18-Jan-15, 5:19 pm,5,General(pwd),29-Jan-15,12:17 PM,Y,974,11
2/25163,12,22,"GANDHI NGR,OPP RELIANCE TOWER  ",20-Jan-15, 9:34 am,5,General(pwd),29-Jan-15,4:03 PM,Y,832,9
2/25206,12,19,SARASWATHPUR  OPP  MASALGAR  ONI  CROSS  ,20-Jan-15, 6:08 pm,6,Chamber damaged,,,N,798,
2/25197,2,11,GANDHI CHAVAK NR K.C.C BANK OPP GOVT TOILET  ,20-Jan-15, 5:32 pm,6,Chamber damaged,31-Jan-15,9:15 AM,Y,959,11
2/25305,2,11,JAKANI BHAVI ROAD  NAER GEETA HOTEL  ,21-Jan-15, 9:25 pm,5,No chamber cover,29-Jan-15,10:45 AM,Y,959,8
2/25261,3,4,"MEHBOOB NGR,NR MASJID  ",21-Jan-15,11:45 AM,5,No chamber cover,29-Jan-15,12:17 PM,Y,974,8
2/25342,3,15,JAIBHEEM NAGAR NEAR PINKY BEAUTY PARLER  ,22-Jan-15, 2:26 pm,5,General(pwd),31-Jan-15,5:21 PM,Y,977,9
2/25319,12,19,"GANDHI NGR, CHIDAMBAR RD, OPP. KESHAV APPRT.MUNJI PLOT  ",22-Jan-15,10:28 AM,1,Illegal construction,23-Jan-15,7:06 PM,Y,798,1
2/25333,3,15,"CHAPARABAND CLNY, 6TH CRS  NR SUNAD BATTI  ",22-Jan-15,12:56 PM,5,General(pwd),31-Jan-15,5:21 PM,Y,977,9
2/25415,12,19,YALLAMMA DEVI  HOUSING  SOCIETY  ,23-Jan-15, 5:27 pm,5,General(pwd),29-Jan-15,5:03 PM,Y,798,6
2/25372,3,3,"SAPINGE NGR,1ST CRS NR WATER TANK  ",23-Jan-15, 8:28 am,5,No chamber cover,31-Jan-15,5:21 PM,Y,973,8
2/25412,3,3,VIKAS  NGR  1ST CRS NR MARUTI  TEMPLE  ,23-Jan-15, 5:13 pm,6,Road repair,31-Jan-15,5:20 PM,Y,973,8
2/25447,3,5,MALAPUR NR RAMANAGOUDA HOSPITEL OPP RENUKA SAGAR HOTEL  ,24-Jan-15,11:14 AM,6,Chamber damaged,29-Jan-15,4:04 PM,Y,975,5
2/25479,3,15,"LINE BAZAR,NR MUKASHI CHAL  ",24-Jan-15, 6:29 pm,6,Chamber damaged,29-Jan-15,11:54 AM,Y,977,5
2/25455,2,11,JAKANI BAVI ROAD. NR SHRI SAI ENRPRICESS  ,24-Jan-15,12:06 PM,5,No chamber cover,29-Jan-15,10:45 AM,Y,959,5
2/25545,1,14, JAY NGR  SAPATHPUR LAST BUS STOP NR UGARAGOL COMPOUND #92  ,25-Jan-15, 8:32 pm,1,Illegal construction,28-Jan-15,3:41 PM,Y,940,3
2/25700,1,13,"SAPTAPUR 9 TH CRS,#54  ",28-Jan-15,11:58 AM,5,General(pwd),28-Jan-15,3:42 PM,Y,939,0
2/25688,3,15,LINE BAJAR VANITA SIVA SAMAJ ROAD NR HANUMANA TMPL  ,28-Jan-15,10:35 AM,5,General(pwd),29-Jan-15,4:04 PM,Y,977,1
2/25675,3,15,"JAYABIMA NGR, MAIN ROAD NR LADAVA SHOP  ",28-Jan-15, 8:08 am,5,General(pwd),31-Jan-15,5:22 PM,Y,977,3
2/25686,2,11,"SUPPER MARKET, OPP. RATHOD PROVISION STORES  ",28-Jan-15,10:08 AM,1,Illegal construction,29-Jan-15,10:46 AM,Y,959,1
2/25743,3,15,JAI BHEEM NGR  NEAR ANAND ADAVANI HOUSE  MADAR MADDI MAIN ROAD  ,28-Jan-15,10:33 PM,5,General(pwd),31-Jan-15,5:21 PM,Y,977,3
2/25789,2,11,OLD MEVINA PETH  NR MANKILLA RD  ,29-Jan-15, 6:16 pm,6,Drainage damaged,30-Jan-15,12:05 PM,Y,959,1
2/25769,2,10,JAI BHIM NGR MAGARMADDI  NR MARIYAMMAN GUDI  ,29-Jan-15,12:45 PM,6,Chamber damaged,,,N,958,
2/25841,1,2,KC PARK NR FROSET COMPOUNDA  ,30-Jan-15, 1:22 pm,5,No chamber cover,07-Feb-15,3:43 PM,Y,942,8
2/25851,12,20,"#""786 ""LAXMI NAGAR , NR JANTHA NAGAR TAP, VIDYA GIRI  ",30-Jan-15, 4:29 pm,6,Chamber damaged,,,N,810,
2/25845,3,15,COURT CIRCLE OPP MISHRA PEDA  ,30-Jan-15, 1:50 pm,5,General(pwd),05-Feb-15,4:32 PM,Y,977,6
2/25996,1,2,"OPP KC PARK,OPP DODDAMANI PETROLPUMP ,SUB JAIL ROAD  ",02-Feb-15, 3:07 pm,5,No chamber cover,07-Feb-15,3:43 PM,Y,942,5
2/26055,2,11,"OPP CITY COMPLEX,  OLD GROSS MARKET, B/H ZONEL-2  OFFICE  ",03-Feb-15,12:37 PM,6,Drainage damaged,05-Feb-15,4:50 PM,Y,959,2
2/26077,1,13,"SAI LYT,  B/H KHADI GRAMA, OPP GARDEN, BENGERI  ",03-Feb-15, 4:28 pm,6,Chamber damaged,05-Feb-15,4:52 PM,Y,939,2
2/26145,3,15,"B/H GANPATHI TEMPLE , SHIVA PUR COLONY  ",04-Feb-15, 4:18 pm,1,Illegal construction,08-Feb-15,7:41 PM,Y,977,4
2/26190,3,15,"#33 RAM NGR, 2ND CRS, NR CHAPARABAND CLNY AUTO SAND  ",05-Feb-15, 1:06 pm,5,No chamber cover,08-Feb-15,7:41 PM,Y,977,3
2/26294,3,12,SANAGAMA TAKIJ OPP HEGADYE MUBILE WORLD  ,06-Feb-15, 2:05 pm,5,General(pwd),18-Feb-15,10:40 AM,Y,976,12
2/26296,1,13,"SAPTAPUR, 2ND CRS, OPP SAI HOME SCIENCE COLLEGE, PAVTE NGR RD  ",06-Feb-15, 2:20 pm,1,Illegal construction,19-Feb-15,4:37 PM,Y,939,13
2/26281,2,6,NADAF GALLI. 1ST CRS NR HUNACHHI GIDA  ,06-Feb-15,12:32 PM,5,General(pwd),10-Feb-15,10:35 AM,Y,954,4
2/26266,12,20,"LAKSHMI NGR, 2ND CRS, B/H SUVARNA PETROL BUNK  ",06-Feb-15,10:47 AM,5,No chamber cover,19-Feb-15,5:07 PM,Y,810,13
2/26366,3,15,STATION RD MALLMADDI OPP MORE SHOP  ,07-Feb-15, 5:44 pm,5,No chamber cover,18-Feb-15,10:41 AM,Y,977,11
2/26407,12,16,MANJUNATHPUR MN RD MALLMADDI NR RAYARA MATH  ,08-Feb-15, 4:53 pm,5,No chamber cover,,,N,986,
2/26413,3,12,KITTUR CHANNAMMA PARK NR TAVARGARI NARSING HOME ROAD  ,08-Feb-15, 6:18 pm,6,Chamber damaged,18-Feb-15,10:41 AM,Y,976,10
2/26436,1,14,"STATION ROD, MALAMADDI, OPP MORE.  ",09-Feb-15, 9:10 am,5,No chamber cover,10-Feb-15,11:27 AM,Y,940,1
2/26489,1,13,"RANI CHANNAMMA NGR,#228,7TH CROSS  ",09-Feb-15, 4:26 pm,6,Drainage damaged,19-Feb-15,4:33 PM,Y,939,10
2/26454,3,12,"P B RD, NR MYSORE GARRAGE, OPP NAREGAL PETROL BUNK  ",09-Feb-15,11:18 AM,5,No chamber cover,24-Feb-15,1:04 PM,Y,976,15
2/26586,2,11,"SUPER MARKET, OPP RATHOD PROVIGEN STORE  ",10-Feb-15, 7:17 pm,1,Illegal construction,18-Feb-15,11:16 AM,Y,959,8
2/26537,1,14,"OPP- MORE SHOP, STATION ROAD  ",10-Feb-15,10:00 AM,5,No chamber cover,10-Feb-15,11:27 AM,Y,940,0
2/26546,3,15,"LINE BAJAR KAKAR ONI 3RD CRS, NR SOUDAGAR MAJID  ",10-Feb-15,11:01 AM,5,General(pwd),18-Feb-15,10:41 AM,Y,977,8
2/26569,12,20,"SHIVANADA NGR. NR KARIAMMA TMPL 4TH CRS,  ",10-Feb-15, 4:01 pm,6,Chamber damaged,,,N,810,
2/26743,12,16,SARASTH PUR NR VENKTESHWR TEMPLE OPP  ,12-Feb-15, 6:11 pm,6,Drainage damaged,,,N,986,
2/26751,3,12," #17/5,SHASTRI CHAL KILL  NR CIVIL HOSPETL  ",12-Feb-15, 7:06 pm,1,Illegal construction,24-Feb-15,1:05 PM,Y,976,12
2/26742,3,12,SHASTRI CHAL NR MANJUSRI BULIDING  ,12-Feb-15, 6:08 pm,1,Illegal construction,18-Feb-15,10:41 AM,Y,976,6
2/26735,1,13,"RANI CHANAMMA NAGAR , LAST BUS STOP #44 & 47  ",12-Feb-15, 5:14 pm,9,Poor quality of work by contractors,13-Feb-15,4:39 PM,Y,939,1
2/26808,2,6,KADAROLI ONI B/H MURGHA MATH  ,13-Feb-15, 4:22 pm,5,General(pwd),24-Feb-15,12:56 PM,Y,954,11
2/26792,12,19,SARASAVATHI PUR NR VENAKESHAWAR TMPL  ,13-Feb-15,12:50 PM,5,No chamber cover,,,N,798,
2/26806,3,15,MISSION COMPUND1STCRS  N T TF  COLLAGE BACK SAID NR LAXMI TAKIS  ,13-Feb-15, 3:23 pm,6,Drainage damaged,04-Mar-15,6:10 PM,Y,977,19
2/26894,3,4,"GULAGANJIKOPPA RAJNGR , 1ST CRS ,NR CHARCH  ",14-Feb-15, 1:50 pm,5,No chamber cover,24-Feb-15,1:03 PM,Y,974,10
2/26929,12,16,"MANJUNATHPUR, OPP. ""SOHAN NIVAS""  ",15-Feb-15, 7:37 am,5,No chamber cover,21-Feb-15,1:04 PM,Y,986,6
2/26966,12,19,"B/H VENKATESHVAR KALYAN MANTAP, SARASVATPURA, 2ND CRS  ",15-Feb-15, 6:49 pm,6,Chamber damaged,,,N,798,
2/27014,12,20,LAXMI NGR NR SAMASAN GETA  ,16-Feb-15,11:24 AM,1,Illegal construction,24-Feb-15,4:08 PM,Y,810,8
2/27022,12,18,PUROHIT NAGAR 2 CROSS.  ,16-Feb-15,12:05 PM,6,Chamber damaged,21-Feb-15,1:04 PM,Y,786,5
2/27201,3,4,M B NGR 4TH MN 4TH CRS NEAR SHIVALAYA  ,18-Feb-15, 8:30 pm,5,No chamber cover,04-Mar-15,6:10 PM,Y,974,14
2/27273,1,14,SAPTHPUR 10TH CROSS OPP ATHTI  HOTEL  ,19-Feb-15, 4:56 pm,5,General(pwd),24-Feb-15,9:16 AM,Y,940,5
2/27217,1,13,"SILVER ORCHED, OPP VAIDHYAMATH COMPLEX  ",19-Feb-15, 9:14 am,1,Illegal dabba shops,04-Mar-15,12:10 PM,Y,939,13
2/27330,3,5,MALAPUR HARIJANKERI  ,20-Feb-15,10:59 AM,1,Illegal construction,24-Feb-15,1:01 PM,Y,975,4
2/27377,2,6,"HAVERIPETH , NR BRIDGE NR GARDIMANI  ",20-Feb-15, 6:34 pm,5,General(pwd),24-Feb-15,12:56 PM,Y,954,4
2/27333,1,13,"SAPTAPUR, 10TH CRS, OPP. ATHITHI HOTEL  ",20-Feb-15,11:42 AM,5,No chamber cover,24-Feb-15,9:14 AM,Y,939,4
2/27432,3,15,"B/H ADRSHA BALIKA HIGH SCHOOL, RAM NAGAR.  ",21-Feb-15,12:03 PM,1,Illegal construction,24-Feb-15,1:02 PM,Y,977,3
2/27436,12,21,"LAKAMANHALLI, KHB CLNY, 1ST MN RD, OPP. #HIG-42  ",21-Feb-15,12:27 PM,6,Chamber damaged,,,N,821,
2/27480,3,4,"KOPPAD KERI, 4TH CRS, NR SHIVALAYA, NR  WATER TANK, OPP AKKI BLDNG  ",22-Feb-15, 8:51 am,5,No chamber cover,04-Mar-15,6:09 PM,Y,974,10
2/27498,1,14,"STATION RD,NR HEAD POST,  ",22-Feb-15, 1:31 pm,5,General(pwd),24-Feb-15,9:16 AM,Y,940,2
2/27478,12,20,#26 YALLAKKI  SHTTRA COLONY 5TH CRS  NR PARGATHI COLONY  ,22-Feb-15, 8:18 am,5,General(pwd),23-Feb-15,4:21 PM,Y,810,1
2/27501,3,15,"MISSION COMPOUND, B/H NTTF, 1ST CRS, #213  ",22-Feb-15, 2:29 pm,6,Chamber damaged,04-Mar-15,6:09 PM,Y,977,10
2/27573,2,7,"MURATUNAJAYA NGR,K E BORD HIGH SCHOOL  ",23-Feb-15, 1:59 pm,5,No chamber cover,24-Feb-15,12:56 PM,Y,955,1
2/27623,1,14,SAPTHPUR 10TH CROSS OPP ATHTI  HOTEL  ,24-Feb-15, 9:20 am,5,General(pwd),26-Feb-15,4:07 PM,Y,940,2
2/27779,12,19,"SARASWATHPUR , NR VENKATESHWAR TEMPLE NR KULKARNI HOUSE  ",25-Feb-15, 5:48 pm,5,No chamber cover,,,N,798,
2/27725,12,16,"TOLANAKA, P B RD, OPP MADINA MASJID  ",25-Feb-15, 9:39 am,6,Chamber damaged,,,N,986,
2/27743,1,13,"RANI CHANAMA NGR,PLOT NO-68,1ST CRS  ",25-Feb-15,11:59 AM,5,General(pwd),26-Feb-15,4:03 PM,Y,939,1
2/27915,12,21,"LAKAMANHALLI, KHB CLNY, 1ST MN RD, OPP. #HIG-42  ",27-Feb-15, 5:55 pm,6,Chamber damaged,,,N,985,
2/28003,12,22,"SATTUR , P B ROAD , KANAKA HOTEL  ",28-Feb-15, 7:34 pm,5,General(pwd),,,N,832,
2/27973,12,22,"NR DIST TRAINING CENTRE, GANDI NGR 2 ND CRS  ",28-Feb-15,12:15 PM,5,General(pwd),,,N,988,
2/27984,3,12,"HALIYA RD,NR OLD HEAD  POST OFFICE  ",28-Feb-15, 1:45 pm,5,General(pwd),04-Mar-15,6:12 PM,Y,976,4
2/28042,3,15,"SANAMATI MARAGA ,NR DK NAIKAR HOUSE  ",01-Mar-15, 2:45 pm,6,Chamber damaged,13-Apr-15,5:03 PM,Y,977,43
2/28057,3,15,SANMATHI MARGA  MN ROAD NR N T T F STOP  ,01-Mar-15, 6:33 pm,6,Chamber damaged,13-Mar-15,6:08 PM,Y,977,12
2/28076,1,14,"OPP MORE, STATION ROAD.  ",02-Mar-15, 8:06 am,5,No chamber cover,05-Mar-15,3:25 PM,Y,940,3
2/28097,1,14,"MALMADDI , 6TH CRS, NR RAGHAVENDRA MATH	  ",02-Mar-15,11:04 AM,5,General(pwd),05-Mar-15,3:27 PM,Y,940,3
2/28239,1,14,STATION  RD  OPP  MORE SHOP  ,03-Mar-15, 5:13 pm,5,No chamber cover,05-Mar-15,3:27 PM,Y,940,2
2/28262,3,3,"K H B COLONY , DODDNAYAKANKOPPA , NR BHAVI KIRANI SHOP  ",03-Mar-15, 8:35 pm,5,General(pwd),13-Mar-15,6:07 PM,Y,973,10
